Director,Vote Average
Stan Winston,8.0
Casper Kelly,7.794
Doug Murphy,7.701
Kazumi Fukushima,7.664
Ariane Louis-Seize,7.599
Emma Tammi,7.568
John Krasinski,7.4475
Cecilia Aranovich,7.4
Spencer Maybee,7.394
Dean Alioto,7.349
Darren Aronofsky,7.329000000000001
Tommy O'Haver,7.324
Mark Mylod,7.185
Tim Burton,7.171
Jordan Peele,7.131
Ari Aster,7.1
Andrew Leman,7.1
Ruben Fleischer,7.099
Gerard Johnstone,7.079
James Wan,7.073
Rodo Sayagues,7.073
Andy Muschietti,7.045
Adam Randall,7.004
Jeff Nichols,7.0
Julius Avery,6.997999999999999
Dan Trachtenberg,6.994
Michael Dougherty,6.987
Michael Giacchino,6.987
Mimi Cave,6.974
Castille Landon,6.97
Neill Blomkamp,6.968333333333334
Karen Moncrieff,6.942
Frank Darabont,6.926
Nahnatchka Khan,6.901
Arkasha Stevenson,6.88
Fede Álvarez,6.877
John Fawcett,6.863
Jacob Aaron Estes,6.855
Susanne Bier,6.84
Zach Cregger,6.837999999999999
David Lynch,6.824
Christopher Alender,6.816
Stephen Norrington,6.8
Andrew Fleming,6.8
Matt Peters,6.8
Michael Sarnoski,6.8
J.J. Perry,6.8
Cooper Karl,6.799
Brian Duffield,6.7755
Robert Rodriguez,6.735333333333333
M. Night Shyamalan,6.713333333333334
Henry Selick,6.71
Brandon Thaxton,6.707000000000001
Dean Devlin,6.7
Peter DeLuise,6.7
Ryan Spindell,6.7
Albert Hughes,6.693
Mikael Håfström,6.688
Gore Verbinski,6.671
Daniel DelPurgatorio,6.657
Park Chan-wook,6.654
Gregory Wilson,6.648
Richard Gale,6.644
Michael Chaves,6.633666666666667
Patrick Wilson,6.617999999999999
Evan Spiliotopoulos,6.604
James Wong,6.602
Leigh Janiak,6.6015
Fritz Manger,6.6
Drew Goddard,6.6
Daniel Stamm,6.5995
David F. Sandberg,6.595
Jeffrey Grellman,6.591
David Robert Mitchell,6.577000000000001
Matt Bettinelli-Olpin,6.563000000000001
Danishka Esterhazy,6.555
Benji Kleiman,6.553
Scott Cooper,6.5455
Chris McKay,6.528
Steeve Léonard,6.527
Benjamin Arfmann,6.525
Assaf Bernstein,6.517
Samuel Bodin,6.507000000000001
Ishana Night Shyamalan,6.484
Mike Gabriel,6.482
Richard Shepard,6.475
Scott Derrickson,6.4712499999999995
Thomas Guard,6.4670000000000005
G.J. Echternkamp,6.456
John Erick Dowdle,6.4526666666666666
Adam Robitel,6.452333333333333
Andrew Currie,6.446000000000001
Daniel Espinosa,6.444
John Lee Hancock,6.439
Scott Glosserman,6.437
"Emmanuel Osei-Kuffour, Jr.",6.431
Clif Prowse,6.428999999999999
Guillermo del Toro,6.4223333333333334
Madellaine Paxson,6.42
Sam Raimi,6.418
Gary Shore,6.417999999999999
Anna Biller,6.417000000000001
Russell Owen,6.415
Jon Stevenson,6.414
Robert Zemeckis,6.414
Gary Dauberman,6.412000000000001
Brett Sullivan,6.405
Jeremy Lutter,6.401
Jeff Broadstreet,6.4
Scott Schirmer,6.394
Todd Strauss-Schulson,6.391
Jennifer Lynch,6.387499999999999
John Murlowski,6.3870000000000005
Boaz Yakin,6.382000000000001
Wes Craven,6.378
Beth de Araújo,6.376
Éric Tessier,6.371
Alex Zamm,6.3660000000000005
J.D. Dillard,6.355
Mario N. Bonassin,6.353
Rob Stefaniuk,6.35
David Koepp,6.3485
Justin Benson,6.346
Veena Sud,6.341
Brannon Braga,6.34
John Polson,6.336
Jon Hyatt,6.332000000000001
Suzanne Coote,6.327000000000001
Aaron Moorhead,6.322
Brendan Petrizzo,6.32
Christopher Landon,6.319
Rob Letterman,6.317
Carlos Brooks,6.311
Michael Mohan,6.301
Agnieszka Wojtowicz-Vosloo,6.301
Nimród Antal,6.3
Bill Watterson,6.3
Daniel Grou,6.3
Zelda Williams,6.3
Lance W. Dreesen,6.3
Cary Murnion,6.297000000000001
Stephen Susco,6.296
Stuart Ortiz,6.2860000000000005
William Eubank,6.2860000000000005
Rupert Wainwright,6.273
Lori Evans Taylor,6.265
Mike Flanagan,6.2574
Eric Bress,6.257000000000001
Michael Goi,6.257000000000001
Ridley Scott,6.2535
Gerard Bush,6.252000000000001
Malik Vitthal,6.25
McG,6.246
Sebastian Gutierrez,6.246
Steve Beck,6.244
Steven Soderbergh,6.244
Halina Reijn,6.242000000000001
Daniel Byers,6.236000000000001
Lee Daniels,6.235
Damien Leone,6.233666666666667
Eric Red,6.231999999999999
Tad Stones,6.226000000000001
Marcus Dunstan,6.221666666666667
Matthijs van Heijningen Jr.,6.218999999999999
Jeremy Gardner,6.218999999999999
Akiva Goldsman,6.216
Justin Lee,6.215
John Lasseter,6.215
Stuart Gordon,6.212000000000001
Perry Blackshear,6.209
David Bruckner,6.207000000000001
Nicolas Pesce,6.2010000000000005
Lloyd Kaufman,6.1968000000000005
Kasra Farahani,6.192
Chuck Patton,6.19
Jeremy Saulnier,6.1899999999999995
Peter Cornwell,6.188
Måns Mårlind,6.185499999999999
Mark Pellington,6.183
Dennis Iliadis,6.179
Andy Mitton,6.174
Sharon Bridgeman,6.172999999999999
D. Kerry Prior,6.171
David Hackl,6.169
David Gordon Green,6.1673333333333344
Tibor Takács,6.162000000000001
Jason Axinn,6.16
Federico D'Alessandro,6.158
Rodman Flender,6.158
Tom Hammock,6.155
Russell Mulcahy,6.153
Andrew Douglas,6.143
Suzi Yoonessi,6.141
Bryan Bertino,6.140000000000001
Zoe Lister-Jones,6.135
David Yarovesky,6.135
Mike P. Nelson,6.127999999999999
Robbie Pickering,6.122000000000001
Glen Morgan,6.121
Brad Anderson,6.108999999999999
Josh Boone,6.108
Mathieu Kassovitz,6.103
Lucky McKee,6.101666666666667
Yam Laranas,6.1
Valeri Milev,6.1
David Jung,6.1
Jonathan Liebesman,6.1
Jim Cummings,6.1
Tim Story,6.1
Steven Quale,6.1
Asif Kapadia,6.097
Grant Harvey,6.091
Casey La Scala,6.085
Peter Hyams,6.081
Kevin Greutert,6.078200000000001
Drew Gabreski,6.073
Olly Blackburn,6.071000000000001
Keola Racela,6.069
Joey Stewart,6.068
Àlex Pastor,6.067
Michael Cohn,6.067
Drew T. Pierce,6.059
Joshua Zeman,6.058
Ana Lily Amirpour,6.0555
Ronny Yu,6.055
Isaac Ezban,6.0520000000000005
Jeff Wadlow,6.05075
Michael Katleman,6.047000000000001
Derrick Granado,6.046
Zachary Donohue,6.044
Adrián García Bogliano,6.041
Ole Bornedal,6.041
Michael Tiddes,6.0405
Kevin Lewis,6.037999999999999
Tyler MacIntyre,6.0360000000000005
Geoff Meed,6.033
David Twohy,6.03
John Swab,6.029
David Marmor,6.027
Randall Okita,6.007999999999999
Joe Lynch,6.006
Ciarán Foy,6.006
Gerard McMurray,6.0
Matt Eskandari,6.0
Michael O'Shea,6.0
Glenn McQuaid,5.994
Scott Stewart,5.991
Josh Ruben,5.9895000000000005
Steven Kostanski,5.981
Jaume Collet-Serra,5.981
David Guy Levy,5.976
Diego Hallivis,5.973
Brandon Cronenberg,5.968
Trevor Matthews,5.9670000000000005
David Charbonier,5.9665
Dario Argento,5.959
Karyn Kusama,5.95
S.S. Wilson,5.949
Barry Levinson,5.9365
Nacho Vigalondo,5.936
Steven R. Monroe,5.933333333333334
Dale Fabrigar,5.928999999999999
Steven Brill,5.9270000000000005
Ryûhei Kitamura,5.92325
Anthony Scott Burns,5.922999999999999
Tom Holland,5.917000000000001
Mike Disa,5.91
Ti West,5.907666666666667
Adam MacDonald,5.904
Gilbert Adler,5.901
Clara Aranovich,5.9
Tom Elkins,5.9
John McNaughton,5.9
Alastair Orr,5.9
Jordan Galland,5.9
Joseph Winter,5.9
Trey Edward Shults,5.9
Mark Duplass,5.892
Christopher MacBride,5.8870000000000005
Maurice Devereaux,5.886
Jonathan Milott,5.882999999999999
Henry Joost,5.882999999999999
Rebekah McKendry,5.881
Patrick Lussier,5.8804
Don Coscarelli,5.8795
Rob Zombie,5.877599999999999
David Amito,5.8660000000000005
Richard Bates Jr.,5.859999999999999
Michelle MacLaren,5.859
Robert Hiltzik,5.856
Chad Archibald,5.855
Giles Alderson,5.847
Daniel Goldhaber,5.846
Jacob Gentry,5.843
Brandon Christensen,5.84
Nelson McCormick,5.83
Will Wernick,5.829
Darren Lynn Bousman,5.827444444444445
Daniel Myrick,5.827
William Kaufman,5.818
Craig William Macneill,5.81
Chris Sparling,5.809
Chris von Hoffmann,5.8
Bruce Campbell,5.8
Mitzi Peirone,5.795
Dave Parker,5.792000000000001
Keith Thomas,5.792000000000001
Gregg Bishop,5.7860000000000005
Brent Maddock,5.783
Franck Khalfoun,5.782
Iain Softley,5.775
Jacob Vaughan,5.772
Toby Wilkins,5.7655
Jen Soska,5.764333333333333
Jim Mickle,5.759
Roxanne Benjamin,5.752999999999999
Andrew Getty,5.75
Matthew Bright,5.75
R.D. Braunstein,5.747999999999999
Steven Hoban,5.747000000000001
Alex Turner,5.746
Alfonso Gomez-Rejon,5.745
Elza Kephart,5.744
Simon West,5.742999999999999
Stephen Cognetti,5.741666666666667
Jeff Barnaby,5.7410000000000005
Shana Feste,5.739
Dennis Widmyer,5.738
Robert Pulcini,5.737
José Manuel Cravioto,5.736000000000001
Hideo Nakata,5.732
Danny Pang,5.728
Taylor Chien,5.727
Éric Falardeau,5.726
Lindsey Anderson Beer,5.724
Steve Miner,5.7203333333333335
Paul Solet,5.72
Panos Cosmatos,5.718999999999999
Dasha Nekrasova,5.714
Michael Winnick,5.712000000000001
Jim Gillespie,5.7105
John Carpenter,5.709
Takashi Shimizu,5.702
Jim Hosking,5.7
William Butler,5.7
Stephen Hopkins,5.7
Oz Rodriguez,5.7
Alex McAulay,5.7
Jason Todd Ipson,5.7
David Ondaatje,5.7
Marc Schölermann,5.7
Antonio Negret,5.694
Jane Schoenbrun,5.6935
D. J. Caruso,5.6905
Frank Oz,5.689
John Lee,5.688
Owen Egerton,5.686999999999999
Karen Lam,5.684
Paul Leyden,5.681
A.T. White,5.68
Eli Roth,5.678999999999999
Eduardo Sánchez,5.678666666666667
Don Mancini,5.678000000000001
Colin Minihan,5.677
Walter Salles,5.672000000000001
BJ McDonnell,5.669
Niels Arden Oplev,5.666
Anna Zlokovic,5.662000000000001
John Pogue,5.659
Vincent Masciale,5.655
Rupert Wyatt,5.645
Adam Brooks,5.641
John Simpson,5.636
Chris McInroy,5.629
Kyle Rankin,5.6285
Bobby Miller,5.625
Phil Tippett,5.624499999999999
Lawrence Kasdan,5.622999999999999
Jack Heller,5.621
Julius Onah,5.62
Adam Green,5.62
Joseph Kahn,5.6160000000000005
Jamie Blanks,5.6160000000000005
Ted Geoghegan,5.606
Julien Maury,5.6
Katt Shea,5.6
Eli Craig,5.6
Diederik Van Rooijen,5.593999999999999
Brett Simmons,5.586333333333333
William Malone,5.584
Don Michael Paul,5.580000000000001
Alexis Jacknow,5.575
Zak Hilditch,5.567
Marcus Nispel,5.563666666666667
Mike Mendez,5.563
Jonathan Levine,5.561
Kelly Halihan,5.56
Masayuki Ochiai,5.551
Martin Weisz,5.551
Ana Asensio,5.55
Dave Franco,5.546
Dagen Merrill,5.544
Joe Dante,5.542999999999999
Phedon Papamichael,5.542000000000001
Michael J. Gallagher,5.542
Brian James O'Connell,5.54
J.S. Cardone,5.538499999999999
Levan Gabriadze,5.534
Victor Salva,5.53
Chris Kentis,5.53
Doron Paz,5.53
David S. Goyer,5.525
Samuel Bayer,5.521
Jeremiah S. Chechik,5.518
Alexander Bulkley,5.517
Rod Blackhurst,5.517
Travis Stevens,5.5120000000000005
Patrick Brice,5.511
Jon Knautz,5.506
Jordan Barker,5.505
Madeleine Sims-Fewer,5.504
Renny Harlin,5.500500000000001
Peter Sullivan,5.5
Brea Grant,5.5
Alex Merkin,5.5
Rodney Ascher,5.5
Maritte Lee Go,5.5
Stewart Hendler,5.495
Mick Garris,5.492999999999999
George Ratliff,5.484999999999999
Gregory Plotkin,5.484
Stacie Passon,5.483
Pearry Reginald Teo,5.4775
Oren Peli,5.477
John Luessenhop,5.475
Jeffrey A. Brown,5.475
Pascual Sisto,5.475
Dwight H. Little,5.462999999999999
Jeff Baena,5.461
D.J. Viola,5.46
Greg McLean,5.4535
Jan de Bont,5.452999999999999
J.T. Petty,5.45
Gregory Dark,5.45
Neil Jordan,5.449
Jeff Betancourt,5.443
Brad Peyton,5.438
Jack Sholder,5.437
Padraig Reynolds,5.4365000000000006
Turner Clay,5.4270000000000005
John Adams,5.425
Jonas Barnes,5.424
Adam Egypt Mortimer,5.423500000000001
Thomas Jane,5.422999999999999
Kyle Edward Ball,5.422999999999999
Richard Brandes,5.422999999999999
John Shiban,5.417999999999999
Mark A.Z. Dippé,5.414
Michael Nader,5.412999999999999
Alexandre Aja,5.407
Jeff Lieberman,5.405
Rigoberto Castañeda,5.401
Dan Gilroy,5.4
Edward Anderson,5.4
Danny Cannon,5.4
Jonathan Hopkins,5.4
Joel Schumacher,5.4
Pollyanna McIntosh,5.4
Martin Barnewitz,5.4
Iris K. Shim,5.399
Tommy Lee Wallace,5.396
Aaron Mirtes,5.388999999999999
Anthony DiBlasi,5.384999999999999
Elan Dassani,5.377999999999999
Paul Schrader,5.377000000000001
Michael Cuesta,5.376
Peter Wellington,5.375
Eric England,5.369
Sam Irvin,5.367999999999999
Uli Edel,5.363
Brendan Cowles,5.362
Patrick Horvath,5.3605
Robert Kurtzman,5.3585
Ben Rock,5.357
Mitchell Lichtenstein,5.351
Chuck Russell,5.345
Tim Sullivan,5.34
Mariama Diallo,5.337999999999999
David R. Ellis,5.337666666666666
John R. Leonetti,5.3355
Jordan Downey,5.33
Sophia Takal,5.327000000000001
Louis Morneau,5.325666666666667
Michael Storey,5.323
Amy Heckerling,5.321000000000001
Grégory Levasseur,5.321000000000001
John Stockwell,5.319
Andy Palmer,5.315
Marcel Sarmiento,5.315
Lin Oeding,5.311
Stevan Mena,5.31
Joe Begos,5.307333333333333
Devin McGinn,5.307
Tony Krantz,5.3
Jeremy Power Regimbal,5.3
Abel Vang,5.3
Braden R. Duemmler,5.3
Eric Bross,5.3
Mark Neveldine,5.3
Michael Oblowitz,5.3
Tyler Oliver,5.3
Jean de Segonzac,5.3
Christian E. Christiansen,5.2975
Josh Forbes,5.289
Justin P. Lange,5.287000000000001
Brian Yuzna,5.276
Geoffrey Wright,5.274
David Gelb,5.273
Jeremy Haft,5.265
David Winkler,5.265
Brad Turner,5.263999999999999
Chris Shadley,5.263999999999999
Deon Taylor,5.263
Clay Staub,5.2620000000000005
Alan Smithee,5.2620000000000005
Chris Moore,5.26
Luiso Berdejo,5.254
David Jacobson,5.252999999999999
William Brent Bell,5.2445
Michael Thelin,5.235
Adam Wingard,5.234
Gary J. Tunnicliffe,5.232
Mac Carter,5.228
Shane van Dyke,5.226
Dave Payne,5.2245
Lowell Dean,5.224
Phillip Guzman,5.223
Greg Spence,5.220000000000001
Jesse Holland,5.2195
Tod Williams,5.2195
Daniel Robbins,5.218999999999999
David Blue Garcia,5.216
Jay Chandrasekhar,5.215
Gil Kenan,5.214
Brendan Steere,5.209
Kevin McManus,5.209
Vincent J. Guastini,5.205
Bruce McDonald,5.2010000000000005
Scott Dow,5.2
Branden Kramer,5.2
John Berardo,5.2
Jeff Buhler,5.2
Nick Lyon,5.2
Glenn Gers,5.2
Douglas Aarniokoski,5.199999999999999
Chad Crawford Kinkle,5.188
John Ross,5.176
Stacy Title,5.175
Josh C. Waller,5.174
Kerry Harris,5.172000000000001
Colin Strause,5.169
Pat Williams,5.167999999999999
Nick Szostakiwskyj,5.167999999999999
Bradford May,5.167999999999999
Morgan J. Freeman,5.165000000000001
Gideon Raff,5.162999999999999
Thomas Lennon,5.159
Andrew C. Erin,5.155
Bobcat Goldthwait,5.151
Alistair Legrand,5.15
Peter Medak,5.149
Steven Hentges,5.144
Robert Legato,5.144
Stanton Barrett,5.141
Gus Van Sant,5.14
Isaac Gabaeff,5.138
Danny Draven,5.134
Adrian Langley,5.134
Tammy Klein,5.132999999999999
Anthony Leonardi III,5.13
Gary Jones,5.129
Tobe Hooper,5.122
John Gulager,5.112
Jörg Ihle,5.112
Paul Middleditch,5.104
Jackson Stewart,5.103
Glenn Miller,5.1
Xan Cassavetes,5.1
Darin Scott,5.1
James Moran,5.1
Sean Carter,5.1
Duane Journey,5.1
Michael Cooney,5.1
Richard Clabaugh,5.1
Joe Dietsch,5.096
Kenny Ortega,5.089
John Suits,5.077
Griff Furst,5.071
Francis Ford Coppola,5.062
Tony Giglio,5.0575
David Brooks,5.056
Josh Bear,5.053999999999999
Víctor García,5.0482499999999995
Jim Wynorski,5.048
Stefan Avalos,5.042
Howie Askins,5.041
A.B. Stone,5.0280000000000005
Robert Harmon,5.027
Timothy Woodward Jr.,5.024
Scott Thomas,5.023
Mitchell Altieri,5.015000000000001
William Friedkin,5.005
Jordan Graham,5.004
Janusz Kamiński,5.0
Rodrigo Gudiño,5.0
Sheldon Wilson,5.0
Jay Lee,4.997
Roel Reiné,4.989
Kaare Andrews,4.986000000000001
Ben Ketai,4.982
St. Vincent,4.977
John Pieplow,4.976
F. Javier Gutiérrez,4.975
Stephen Kay,4.968999999999999
Victor Zarcoff,4.955
Travis Cluff,4.9510000000000005
Adam Gierasch,4.95
Joshua John Miller,4.949
Walter Hill,4.942
Claudio Fäh,4.939
Bradley Parker,4.938000000000001
Jordan Rubin,4.931
Declan O'Brien,4.9195
Peter Dukes,4.907
Steven Ayromlooi,4.9
Katie Aselton,4.9
Eduardo Rodríguez,4.9
David Hartman,4.9
Christopher Denham,4.9
Travis Oates,4.89
Taylor Sheridan,4.888999999999999
Jack Perez,4.8835
Bobby Roe,4.879
Mary Lambert,4.876
John Frankenheimer,4.875
Matt Angel,4.8740000000000006
Chris Sivertson,4.862
Rob Spera,4.851
James Isaac,4.847
Paul Hough,4.832
Randy Moore,4.832
Le Van Kiet,4.83
Scott Spiegel,4.8294999999999995
P.J. Pesce,4.829000000000001
Zach Lipovsky,4.8225
Victor Mathieu,4.819
Matthew Hastings,4.806
Adam Mason,4.802
Alexander Yellen,4.8
Nicholas McCarthy,4.8
Emile Edwin Smith,4.8
Adam Rehmeier,4.794
Kevin Smith,4.7935
Mickey Keating,4.79
Robert Hall,4.782666666666667
Ernest R. Dickerson,4.78
John Logan,4.768
Antonio Padovan,4.768
Lee Demarbre,4.765
Kevin Munroe,4.744
Gigi Saul Guerrero,4.743
David Flores,4.73
Joe Nimziki,4.727
Thomas Della Bella,4.7010000000000005
Andrew Goth,4.7
Ryan Bellgardt,4.7
Jason Connery,4.685
Nicholaus Goossen,4.669
Clive Saunders,4.623
Michael Hurst,4.621
Kari Skogland,4.619
Ana Clavell,4.61
Rick Rosenthal,4.61
Turi Meyer,4.6
Ed Gass-Donnelly,4.6
Mauro Borrelli,4.6
Tyler Gillett,4.6
Sonny Mallhi,4.59
Cody Calahan,4.585
Frank Henenlotter,4.583
Brian Trenchard-Smith,4.567
Alec Gillis,4.56
Austin Vesely,4.537
Daniel Farrands,4.534
Tomm Coker,4.5
Stephen Carpenter,4.497
Anthony C. Ferrante,4.493
Donald P. Borchers,4.445
Alex Orwell,4.445
Christopher Roosevelt,4.43
Mickey Liddell,4.4
Tom Nagel,4.354
Brett Leonard,4.3
Joe Berlinger,4.292
Sylvain White,4.248
Scott Wheeler,4.237
Christopher Ray,4.234
Nico De Leon,4.21
Joel Soisson,4.131
Israel Luna,4.11
Ethan Wiley,4.032
Guy Magar,4.0
Uwe Boll,3.902
Rolfe Kanefsky,3.85
Richard Schenkman,3.795
Lance Mungia,3.782
Mark Atkins,3.695
Bernard Rose,3.6
Tara Subkoff,3.5860000000000003
Nick Everhart,3.322
Craig Moss,3.3110000000000004
Farhad Mann,3.136
Meir Zarchi,3.025
James Nguyen,2.1550000000000002
